codigo;nombre;ubicacion;;
222;VAS6418 / 1;ARMARIO 4, PUERTA 3,  LADO C, INFERIOR CENTRO;;
224;3299;ARMARIO 4, PUERTA 3,  LADO C, INFERIOR DERECHO;;
226;T10355;ARMARIO 4, PUERTA 3,  LADO C, INFERIOR IZQUIERDO;;
227;3364;ARMARIO 4, PUERTA 3,  LADO C, INFERIOR IZQUIERDO;;
228;VW296;ARMARIO 4, PUERTA 3,  LADO C, INFERIOR DERECHO;;
229;VW5309 / 9;ARMARIO 4, PUERTA 3,  LADO D, SUPERIOR IZQUIERDO;;
230;VAG 1634;ARMARIO 4, PUERTA 3,  LADO D, SUPERIOR DERECHO;;
231;4220;ARMARIO 4, PUERTA 3,  LADO D, SUPERIOR IZQUIERDO;;
232;VAS 6330;ARMARIO 4, PUERTA 3,  LADO D, SUPERIOR DERECHO;;
233;3424;ARMARIO 4, PUERTA 3,  LADO D, SUPERIOR CENTRO;;
234;3032;ARMARIO 4, PUERTA 2,  LADO D, SUPERIOR DERECHO;;
235;VW547;ARMARIO 4, PUERTA 3,  LADO D, SUPERIOR DERECHO;;
236;T40011;ARMARIO 4, PUERTA 3,  LADO D, SUPERIOR IZQUIERDO;;
237;VAG1941;ARMARIO 4, PUERTA 3,  LADO D, SUPERIOR DERECHO;;
238;VW5693 / 6;ARMARIO 4, PUERTA 3,  LADO D, SUPERIOR IZQUIERDO;;
240;T10187;ARMARIO 4, PUERTA 3,  LADO D, CENTRO CENTRO;;
241;T10406;ARMARIO 4, PUERTA 3,  LADO D, CENTRO DERECHO;;
242;T10086;ARMARIO 4, PUERTA 3,  LADO D, SUPERIOR DERECHO;;
243;T10392;ARMARIO 4, PUERTA 3,  LADO D, SUPERIOR DERECHO;;
244;T10382/3;ARMARIO 4, PUERTA 3,  LADO D, CENTRO DERECHO;;
245;T10352/2;ARMARIO 4, PUERTA 3,  LADO D, CENTRO DERECHO;;
247;T10352C;ARMARIO 4, PUERTA 3,  LADO D, CENTRO DERECHO;;
249;3282 / 29;ARMARIO 4, PUERTA 3,  LADO D, CENTRO DERECHO;;
250;T10085;ARMARIO 4, PUERTA 3,  LADO D, CENTRO DERECHO;;
251;VAG1332 / 11;ARMARIO 4, PUERTA 3,  LADO D, CENTRO DERECHO;;
252;T40019;ARMARIO 4, PUERTA 3,  LADO D, SUPERIOR IZQUIERDO;;
253;VW244 B;ARMARIO 4, PUERTA 3,  LADO D, CENTRO DERECHO;;
254;VAG1582 / 7;ARMARIO 4, PUERTA 3,  LADO D, CENTRO CENTRO;;
255;VAG1582 / 5;ARMARIO 4, PUERTA 3,  LADO D, CENTRO IZQUIERDO;;
256;T40087;ARMARIO 4, PUERTA 3, LADO D, CENTRO DERECHO;;
257;VAG1582 / 3;ARMARIO 4, PUERTA 3,  LADO D, CENTRO DERECHO;;
259;3005;ARMARIO 4, PUERTA 3,  LADO D, CENTRO IZQUIERDO;;
260;3300 A;ARMARIO 4, PUERTA 3,  LADO D, CENTRO IZQUIERDO;;
261;VW2024 / A / L;ARMARIO 4, PUERTA 3,  LADO D, CENTRO IZQUIERDO;;
262;VW5321 / 9;ARMARIO 4, PUERTA 3,  LADO D, CENTRO IZQUIERDO;;
263;VAG1582 / 4;ARMARIO 4, PUERTA 3,  LADO D, CENTRO IZQUIERDO;;
264;2050;ARMARIO 4, PUERTA 3,  LADO D, CENTRO IZQUIERDO;;
265;5161 / 23;ARMARIO 4, PUERTA 3,  LADO D, INFERIOR IZQUIERDO;;
267;10-222 A / 1;ARMARIO 4, PUERTA 3,  LADO D, INFERIOR DERECHO;;
268;10-222 A / 6;ARMARIO 4, PUERTA 3,  LADO D, INFERIOR IZQUIERDO;;
269;T10486 A;ARMARIO 4, PUERTA 3,  LADO D, INFERIOR CENTRO;;
270;10-222 A / 5;ARMARIO 4, PUERTA 3,  LADO D, CENTRO DERECHO;;
271;T10383;ARMARIO 4, PUERTA 3,  LADO D, INFERIOR DERECHO;;
272;T40233;ARMARIO 4, PUERTA 3, LADO D, INFERIOR IZQUIERDO;;
273;VAG1682 / A;ARMARIO 4, PUERTA 3,  LADO D, INFERIOR DERECHO;;
274;3256;ARMARIO 4, PUERTA 3,  LADO D, INFERIOR DERECHO;;
275;10-222 A / 26;ARMARIO 4, PUERTA 2,  LADO E, SUPERIOR IZQUIERDO;;
276;10-222 A / 18;ARMARIO 4, PUERTA 2,  LADO E, SUPERIOR IZQUIERDO;;
277;T40265;ARMARIO 4, PUERTA 2,  LADO E, SUPERIOR IZQUIERDO;;
279;VAG1719;ARMARIO 4, PUERTA 2,  LADO E, SUPERIOR CENTRO;;
280;T10255;ARMARIO 4, PUERTA 2,  LADO E, SUPERIOR CENTRO;;
281;VAG1925 / 6;ARMARIO 4, PUERTA 2,  LADO E, SUPERIOR DERECHO;;
282;VAG1719 / 2;ARMARIO 4, PUERTA 2,  LADO E, SUPERIOR DERECHO;;
283;3161;ARMARIO 4, PUERTA 2,  LADO E, SUPERIOR DERECHO;;
284;VAG1925 / 3;ARMARIO 4, PUERTA 2,  LADO E, SUPERIOR DERECHO;;
285;VAG 1925 / 4;ARMARIO 4, PUERTA 2,  LADO E, SUPERIOR DERECHO;;
286;VAG1582 / 0;ARMARIO 4, PUERTA 2,  LADO E, SUPERIOR DERECHO;;
287;T10364;ARMARIO 4, PUERTA 2,  LADO E, SUPERIOR DERECHO;;
288;T10392 / 1;ARMARIO 4, PUERTA 2,  LADO E, SUPERIOR CENTRO;;
289;10-222 A / 3;ARMARIO 4, PUERTA 2,  LADO E, SUPERIOR IZQUIERDO;;
290;3320 / 1;ARMARIO 4, PUERTA 2,  LADO E, SUPERIOR IZQUIERDO;;
